mpg,num_cylinders,displacement,horsepower,weight,acceleration,year,origin,name
18.000000,8,307.000000,130.0,3504.000000,12.000000,70,1,chevrolet chevelle malibu
15.000000,8,350.000000,165.0,3693.000000,11.500000,70,1,buick skylark 320
18.000000,8,318.000000,150.0,3436.000000,11.000000,70,1,plymouth satellite
16.000000,8,304.000000,150.0,3433.000000,12.000000,70,1,amc rebel sst
17.000000,8,302.000000,140.0,3449.000000,10.500000,70,1,ford torino
15.000000,8,429.000000,198.0,4341.000000,10.000000,70,1,ford galaxie 500
14.000000,8,454.000000,220.0,4354.000000,9.000000,70,1,chevrolet impala
14.000000,8,440.000000,215.0,4312.000000,8.500000,70,1,plymouth fury iii
14.000000,8,455.000000,225.0,4425.000000,10.000000,70,1,pontiac catalina
15.000000,8,390.000000,190.0,3850.000000,8.500000,70,1,amc ambassador dpl
15.000000,8,383.000000,170.0,3563.000000,10.000000,70,1,dodge challenger se
14.000000,8,340.000000,160.0,3609.000000,8.000000,70,1,plymouth 'cuda 340
15.000000,8,400.000000,150.0,3761.000000,9.500000,70,1,chevrolet monte carlo
14.000000,8,455.000000,225.0,3086.000000,10.000000,70,1,buick estate wagon (sw)
24.000000,4,113.000000,95.00,2372.000000,15.000000,70,3,toyota corona mark ii
22.000000,6,198.000000,95.00,2833.000000,15.500000,70,1,plymouth duster
18.000000,6,199.000000,97.00,2774.000000,15.500000,70,1,amc hornet
21.000000,6,200.000000,85.00,2587.000000,16.000000,70,1,ford maverick
27.000000,4,97.000000,88.00,2130.000000,14.500000,70,3,datsun pl510
26.000000,4,97.000000,46.00,1835.000000,20.500000,70,2,volkswagen 1131 deluxe sedan
25.000000,4,110.000000,87.00,2672.000000,17.500000,70,2,peugeot 504
24.000000,4,107.000000,90.00,2430.000000,14.500000,70,2,audi 100 ls
25.000000,4,104.000000,95.00,2375.000000,17.500000,70,2,saab 99e
26.000000,4,121.000000,113.0,2234.000000,12.500000,70,2,bmw 2002
21.000000,6,199.000000,90.00,2648.000000,15.000000,70,1,amc gremlin
10.000000,8,360.000000,215.0,4615.000000,14.000000,70,1,ford f250
10.000000,8,307.000000,200.0,4376.000000,15.000000,70,1,chevy c20
11.000000,8,318.000000,210.0,4382.000000,13.500000,70,1,dodge d200
9.000000,8,304.000000,193.0,4732.000000,18.500000,70,1,hi 1200d
27.000000,4,97.000000,88.00,2130.000000,14.500000,71,3,datsun pl510
28.000000,4,140.000000,90.00,2264.000000,15.500000,71,1,chevrolet vega 2300
25.000000,4,113.000000,95.00,2228.000000,14.000000,71,3,toyota corona
19.000000,6,232.000000,100.0,2634.000000,13.000000,71,1,amc gremlin
16.000000,6,225.000000,105.0,3439.000000,15.500000,71,1,plymouth satellite custom
17.000000,6,250.000000,100.0,3329.000000,15.500000,71,1,chevrolet chevelle malibu
19.000000,6,250.000000,88.00,3302.000000,15.500000,71,1,ford torino 500
18.000000,6,232.000000,100.0,3288.000000,15.500000,71,1,amc matador
14.000000,8,350.000000,165.0,4209.000000,12.000000,71,1,chevrolet impala
14.000000,8,400.000000,175.0,4464.000000,11.500000,71,1,pontiac catalina brougham
14.000000,8,351.000000,153.0,4154.000000,13.500000,71,1,ford galaxie 500
14.000000,8,318.000000,150.0,4096.000000,13.000000,71,1,plymouth fury iii
12.000000,8,383.000000,180.0,4955.000000,11.500000,71,1,dodge monaco (sw)
13.000000,8,400.000000,170.0,4746.000000,12.000000,71,1,ford country squire (sw)
13.000000,8,400.000000,175.0,5140.000000,12.000000,71,1,pontiac safari (sw)
18.000000,6,258.000000,110.0,2962.000000,13.500000,71,1,amc hornet sportabout (sw)
22.000000,4,140.000000,72.00,2408.000000,19.000000,71,1,chevrolet vega (sw)
19.000000,6,250.000000,100.0,3282.000000,15.000000,71,1,pontiac firebird
18.000000,6,250.000000,88.00,3139.000000,14.500000,71,1,ford mustang
23.000000,4,122.000000,86.00,2220.000000,14.000000,71,1,mercury capri 2000
28.000000,4,116.000000,90.00,2123.000000,14.000000,71,2,opel 1900
30.000000,4,79.000000,70.00,2074.000000,19.500000,71,2,peugeot 304
30.000000,4,88.000000,76.00,2065.000000,14.500000,71,2,fiat 124b
31.000000,4,71.000000,65.00,1773.000000,19.000000,71,3,toyota corolla 1200
35.000000,4,72.000000,69.00,1613.000000,18.000000,71,3,datsun 1200
27.000000,4,97.000000,60.00,1834.000000,19.000000,71,2,volkswagen model 111
26.000000,4,91.000000,70.00,1955.000000,20.500000,71,1,plymouth cricket
24.000000,4,113.000000,95.00,2278.000000,15.500000,72,3,toyota corona hardtop
25.000000,4,97.500000,80.00,2126.000000,17.000000,72,1,dodge colt hardtop
23.000000,4,97.000000,54.00,2254.000000,23.500000,72,2,volkswagen type 3
20.000000,4,140.000000,90.00,2408.000000,19.500000,72,1,chevrolet vega
21.000000,4,122.000000,86.00,2226.000000,16.500000,72,1,ford pinto runabout
13.000000,8,350.000000,165.0,4274.000000,12.000000,72,1,chevrolet impala
14.000000,8,400.000000,175.0,4385.000000,12.000000,72,1,pontiac catalina
15.000000,8,318.000000,150.0,4135.000000,13.500000,72,1,plymouth fury iii
14.000000,8,351.000000,153.0,4129.000000,13.000000,72,1,ford galaxie 500
17.000000,8,304.000000,150.0,3672.000000,11.500000,72,1,amc ambassador sst
11.000000,8,429.000000,208.0,4633.000000,11.000000,72,1,mercury marquis
13.000000,8,350.000000,155.0,4502.000000,13.500000,72,1,buick lesabre custom
12.000000,8,350.000000,160.0,4456.000000,13.500000,72,1,oldsmobile delta 88 royale
13.000000,8,400.000000,190.0,4422.000000,12.500000,72,1,chrysler newport royal
19.000000,3,70.000000,97.00,2330.000000,13.500000,72,3,mazda rx2 coupe
15.000000,8,304.000000,150.0,3892.000000,12.500000,72,1,amc matador (sw)
13.000000,8,307.000000,130.0,4098.000000,14.000000,72,1,chevrolet chevelle concours (sw)
13.000000,8,302.000000,140.0,4294.000000,16.000000,72,1,ford gran torino (sw)
14.000000,8,318.000000,150.0,4077.000000,14.000000,72,1,plymouth satellite custom (sw)
18.000000,4,121.000000,112.0,2933.000000,14.500000,72,2,volvo 145e (sw)
22.000000,4,121.000000,76.00,2511.000000,18.000000,72,2,volkswagen 411 (sw)
21.000000,4,120.000000,87.00,2979.000000,19.500000,72,2,peugeot 504 (sw)
26.000000,4,96.000000,69.00,2189.000000,18.000000,72,2,renault 12 (sw)
